id,caseId,category,arm,repeat,status,correct,selectionMs,requests,scoreArgumentChars,executionArgumentChars,input,cacheRead,cacheWrite,output,reasoning,totalTokens,jevCalls,jevReason,jevMs,dispatchMs,jevInput,jevOutput
explicit-test-1-direct,explicit-test,routine,direct,1,completed,true,3108,1,0,35,1285,0,0,24,0,1309,0,,,,,
explicit-test-1-delegated,explicit-test,routine,delegated,1,completed,true,10543,2,192,35,2700,0,0,94,18,2794,1,none,2803,4174,1569,116
explicit-runtime-1-delegated,explicit-runtime,routine,delegated,1,completed,true,13039,2,219,43,2690,0,0,78,0,2768,1,none,1770,5273,1572,116
explicit-runtime-1-direct,explicit-runtime,routine,direct,1,completed,true,4005,1,0,43,1288,0,0,25,0,1313,0,,,,,
concurrent-retry-1-direct,concurrent-retry,evidence,direct,1,completed,true,5112,1,0,88,1346,0,0,36,0,1382,0,,,,,
concurrent-retry-1-delegated,concurrent-retry,evidence,delegated,1,completed,true,9067,2,556,88,2885,0,0,157,9,3042,1,none,1436,3251,1631,116
tenant-cache-1-delegated,tenant-cache,evidence,delegated,1,completed,true,10822,2,533,93,1607,1280,0,161,13,3048,1,none,1414,4734,1634,116
tenant-cache-1-direct,tenant-cache,evidence,direct,1,completed,true,3526,1,0,93,1345,0,0,36,0,1381,0,,,,,
month-boundary-1-direct,month-boundary,evidence,direct,1,completed,true,3564,1,0,87,1343,0,0,52,14,1395,0,,,,,
month-boundary-1-delegated,month-boundary,evidence,delegated,1,completed,true,17314,2,545,87,2885,0,0,163,17,3048,1,none,8920,3205,1634,116
restart-budget-1-delegated,restart-budget,evidence,delegated,1,completed,true,8700,2,556,98,2869,0,0,147,0,3016,1,none,1302,2990,1632,116
restart-budget-1-direct,restart-budget,evidence,direct,1,completed,true,5776,1,0,98,1343,0,0,57,16,1400,0,,,,,
explicit-test-2-delegated,explicit-test,routine,delegated,2,completed,true,9603,2,192,35,1528,1152,0,74,0,2754,1,none,3696,2390,1569,116
explicit-test-2-direct,explicit-test,routine,direct,2,completed,true,2918,1,0,35,1285,0,0,24,0,1309,0,,,,,
explicit-runtime-2-direct,explicit-runtime,routine,direct,2,completed,true,2634,1,0,43,1288,0,0,25,0,1313,0,,,,,
explicit-runtime-2-delegated,explicit-runtime,routine,delegated,2,completed,true,9676,2,219,43,2702,0,0,90,10,2792,1,none,1557,3607,1572,116
concurrent-retry-2-delegated,concurrent-retry,evidence,delegated,2,completed,true,12922,2,556,88,2885,0,0,157,9,3042,1,none,2489,3148,1631,116
concurrent-retry-2-direct,concurrent-retry,evidence,direct,2,completed,true,7216,1,0,88,1346,0,0,57,19,1403,0,,,,,
tenant-cache-2-direct,tenant-cache,evidence,direct,2,completed,true,5960,1,0,93,1345,0,0,36,0,1381,0,,,,,
tenant-cache-2-delegated,tenant-cache,evidence,delegated,2,completed,true,10078,2,533,93,1611,1280,0,165,17,3056,1,none,1373,2864,1634,116
month-boundary-2-delegated,month-boundary,evidence,delegated,2,completed,true,11873,2,545,87,2877,0,0,155,9,3032,1,none,2401,4102,1634,116
month-boundary-2-direct,month-boundary,evidence,direct,2,completed,true,2984,1,0,87,1343,0,0,50,12,1393,0,,,,,
restart-budget-2-direct,restart-budget,evidence,direct,2,completed,true,5568,1,0,98,1343,0,0,55,14,1398,0,,,,,
restart-budget-2-delegated,restart-budget,evidence,delegated,2,completed,true,11473,2,556,98,2869,0,0,147,0,3016,1,none,3310,3717,1632,116
explicit-test-3-direct,explicit-test,routine,direct,3,completed,true,2856,1,0,35,1285,0,0,24,0,1309,0,,,,,
explicit-test-3-delegated,explicit-test,routine,delegated,3,completed,true,8532,2,192,35,1539,1152,0,85,9,2776,1,none,3006,2556,1569,116
explicit-runtime-3-delegated,explicit-runtime,routine,delegated,3,completed,true,8698,2,219,43,1551,1152,0,91,11,2794,1,none,1372,3284,1572,116
explicit-runtime-3-direct,explicit-runtime,routine,direct,3,completed,true,3901,1,0,43,1288,0,0,25,0,1313,0,,,,,
concurrent-retry-3-direct,concurrent-retry,evidence,direct,3,completed,true,3817,1,0,88,1346,0,0,53,15,1399,0,,,,,
concurrent-retry-3-delegated,concurrent-retry,evidence,delegated,3,completed,true,10908,2,556,88,2885,0,0,157,9,3042,1,none,1428,3080,1631,116
tenant-cache-3-delegated,tenant-cache,evidence,delegated,3,completed,true,9724,2,533,93,1592,1280,0,146,0,3018,1,none,1702,3628,1634,116
tenant-cache-3-direct,tenant-cache,evidence,direct,3,completed,true,3214,1,0,93,1345,0,0,36,0,1381,0,,,,,
month-boundary-3-direct,month-boundary,evidence,direct,3,completed,true,3673,1,0,87,1343,0,0,50,12,1393,0,,,,,
month-boundary-3-delegated,month-boundary,evidence,delegated,3,completed,true,11689,2,545,87,2882,0,0,160,14,3042,1,none,3728,3705,1634,116
restart-budget-3-delegated,restart-budget,evidence,delegated,3,completed,true,10100,2,556,98,2869,0,0,147,0,3016,1,none,1426,2998,1632,116
restart-budget-3-direct,restart-budget,evidence,direct,3,completed,true,3295,1,0,98,1343,0,0,39,0,1382,0,,,,,
