id,caseId,repeat,variant,status,valid,correct,selectionMs,requests,input,cacheRead,output,reasoning,totalTokens,jevCalls,jevInput,jevOutput,jevMs,handoffMs,argumentChars
explicit-test-1-pi-jev-score,explicit-test,1,score,completed,true,true,28017,2,5989,0,1087,25,7076,1,1433,116,3887,2733,5480
explicit-test-1-pi-jev-choice,explicit-test,1,choice,completed,true,true,14940,2,2574,0,281,0,2855,1,572,81,2119,5999,1177
explicit-runtime-1-pi-jev-choice,explicit-runtime,1,choice,completed,true,true,15071,2,2583,0,285,0,2868,1,575,81,3579,3688,1204
explicit-runtime-1-pi-jev-score,explicit-runtime,1,score,completed,true,true,29816,2,4215,1792,1086,20,7093,1,1436,116,4735,3753,5507
concurrent-retry-1-pi-jev-score,concurrent-retry,1,score,completed,true,true,27874,2,6171,0,1130,0,7301,1,1495,116,2951,3045,5844
concurrent-retry-1-pi-jev-choice,concurrent-retry,1,choice,completed,true,true,14170,2,1744,1024,353,0,3121,1,634,82,2253,3854,1541
tenant-cache-1-pi-jev-choice,tenant-cache,1,choice,completed,true,true,13334,2,2756,0,353,0,3109,1,637,82,1256,3672,1518
tenant-cache-1-pi-jev-score,tenant-cache,1,score,completed,true,true,29860,2,6190,0,1162,28,7352,1,1498,116,1333,4118,5821
month-boundary-1-pi-jev-score,month-boundary,1,score,completed,true,true,26847,2,4363,1792,1128,0,7283,1,1498,116,1423,3175,5833
month-boundary-1-pi-jev-choice,month-boundary,1,choice,completed,true,true,14722,2,1726,1024,351,0,3101,1,637,82,3054,3446,1530
restart-budget-1-pi-jev-choice,restart-budget,1,choice,completed,true,true,13957,2,2750,0,354,0,3104,1,635,82,2317,3616,1541
restart-budget-1-pi-jev-score,restart-budget,1,score,completed,true,true,34934,2,4386,1792,1167,32,7345,1,1496,116,1649,10163,5844
explicit-test-2-pi-jev-choice,explicit-test,2,choice,completed,true,true,16811,2,2574,0,281,0,2855,1,572,81,5529,3263,1177
explicit-test-2-pi-jev-score,explicit-test,2,score,completed,true,true,26764,2,4183,1792,1058,0,7033,1,1433,116,1603,3152,5480
explicit-runtime-2-pi-jev-score,explicit-runtime,2,score,completed,true,true,27470,2,4198,1792,1062,0,7052,1,1436,116,1759,3109,5507
explicit-runtime-2-pi-jev-choice,explicit-runtime,2,choice,completed,true,true,13426,2,2583,0,285,0,2868,1,575,81,2117,3797,1204
concurrent-retry-2-pi-jev-choice,concurrent-retry,2,choice,completed,true,true,16593,2,1742,1024,353,0,3119,1,634,82,1274,2858,1541
concurrent-retry-2-pi-jev-score,concurrent-retry,2,score,completed,true,true,28634,2,6169,0,1130,0,7299,1,1495,116,2557,3611,5844
tenant-cache-2-pi-jev-score,tenant-cache,2,score,completed,true,true,28092,2,4377,1792,1130,0,7299,1,1498,116,1360,4310,5821
tenant-cache-2-pi-jev-choice,tenant-cache,2,choice,completed,true,true,12884,2,1732,1024,353,0,3109,1,637,82,1607,3172,1518
month-boundary-2-pi-jev-choice,month-boundary,2,choice,completed,true,true,13241,2,1726,1024,351,0,3101,1,637,82,1280,4181,1530
month-boundary-2-pi-jev-score,month-boundary,2,score,completed,true,true,26543,2,6155,0,1128,0,7283,1,1498,116,1528,2765,5833
restart-budget-2-pi-jev-score,restart-budget,2,score,completed,true,true,28243,2,4367,1792,1131,0,7290,1,1496,116,3639,3241,5844
restart-budget-2-pi-jev-choice,restart-budget,2,choice,completed,true,true,21290,2,1726,1024,354,0,3104,1,635,82,4244,5209,1541
explicit-test-3-pi-jev-score,explicit-test,3,score,completed,true,true,27432,2,5971,0,1058,0,7029,1,1433,116,1843,3661,5480
explicit-test-3-pi-jev-choice,explicit-test,3,choice,completed,true,true,13272,2,2574,0,281,0,2855,1,572,81,3154,2699,1177
explicit-runtime-3-pi-jev-choice,explicit-runtime,3,choice,completed,true,true,11624,2,2583,0,285,0,2868,1,575,81,1996,2929,1204
explicit-runtime-3-pi-jev-score,explicit-runtime,3,score,completed,true,true,28929,2,4209,1792,1062,0,7063,1,1436,116,4128,3051,5507
concurrent-retry-3-pi-jev-score,concurrent-retry,3,score,completed,true,true,28139,2,4379,1792,1130,0,7301,1,1495,116,2202,4195,5844
concurrent-retry-3-pi-jev-choice,concurrent-retry,3,choice,completed,true,true,14832,2,2768,0,353,0,3121,1,634,82,3274,3285,1541
tenant-cache-3-pi-jev-choice,tenant-cache,3,choice,completed,true,true,13520,2,2756,0,353,0,3109,1,637,82,2513,2857,1518
tenant-cache-3-pi-jev-score,tenant-cache,3,score,completed,true,true,26045,2,4377,1792,1130,0,7299,1,1498,116,1375,2692,5821
month-boundary-3-pi-jev-score,month-boundary,3,score,completed,true,true,27961,2,4363,1792,1128,0,7283,1,1498,116,2284,3326,5833
month-boundary-3-pi-jev-choice,month-boundary,3,choice,completed,true,true,12678,2,1726,1024,351,0,3101,1,637,82,1326,3130,1530
restart-budget-3-pi-jev-choice,restart-budget,3,choice,completed,true,true,13669,2,2750,0,354,0,3104,1,635,82,3239,2794,1541
restart-budget-3-pi-jev-score,restart-budget,3,score,completed,true,true,30233,2,4392,1792,1166,31,7350,1,1496,116,2116,3266,5844
